A	Agilent Technologies
AA	Alcoa Inc.
AACC	Asset Acceptance Capital Corp.
AAME	Atlantic American Corporation
AANB	Abigail Adams National Bancorp, Inc.
AAON	AAON, Inc.
AAPL	Apple Inc.
AATI	Advanced Analogic Technologies, Inc.
ACSEF	ACS Motion Control Ltd.
ACTG	Acacia Research Corporation
ACTI	ActivIdentity Corporation
ACTL	Actel Corporation
ACTS	Actions Semiconductor Co., Ltd.
ACTU	Actuate Corporation
ACUS	Acusphere, Inc.
ACXM	Acxiom Corporation
ADAM	A.D.A.M. Inc.
ADAT	Authentidate Holding Corp.
ADBE	Adobe Systems Incorporated
ADBL	Audible, Inc.
ADCT	ADC Telecommunications, Inc.
ADEP	Adept Technology, Inc.
ADES	ADA-ES, Inc.
ALAB	Alabama National BanCorporation
ALAN	Alanco Technologies Inc.
ALBY	Community Capital Bancshares, Inc.
ALCO	Alico, Inc.
ALDA	Aldila, Inc.
ALDN	Aladdin Knowledge Systems Limited
ALEX	Alexander & Baldwin, Inc.
ALFA	Alfa Corporation
ALGN	Align Technology, Inc.
ALGT	Allegiant Travel Company
ALKS	Alkermes, Inc.
ALL	Allstate Corp.
ALLB	Alliance Bancorp, Inc. of Pennsylvania
ALLI	Allion Healthcare, Inc.
ALLT	Allot Communications Ltd.
ALNC	Alliance Financial Corporation
ALNY	Alnylam Pharmaceuticals, Inc.
ALOG	Analogic Corporation
ALOT	Astro-Med, Inc.
AMGI	American Mold Guard, Inc.
AMGIW	American Mold Guard, Inc.
AMGIZ	American Mold Guard, Inc.
AMGN	Amgen Inc.
AXP	American Express Co.
AXTI	AXT Inc
AXYS	Axsys Technologies, Inc.
AYE	Allegheny Energy
AZO	AutoZone Inc.
AZPN	Aspen Technology, Inc.
B	.B Brown-Forman Corp.
BA	Boeing Co.
BABY	Natus Medical Incorporated
BAC	Bank of America Corp.
BAGL	Einstein Noah Restaurant Group, Inc.
BAMM	Books-A-Million, Inc.
BANF	BancFirst Corporation
BANFP	BancFirst Corporation
BANR	Banner Corporation
BARE	Bare Escentuals, Inc.
BARI	Bancorp Rhode Island, Inc.
BASI	Bioanalytical Systems, Inc.
BAX	Baxter International Inc.
BAYN	Bay National Corporation (Maryland)
BBBB	Blackboard Inc.
BBBY	Bed Bath & Beyond Inc.
BBEP	BreitBurn Energy Partners, L.P.
BBGI	Beasley Broadcast Group, Inc.
BBND	BigBand Networks, Inc.
BBNK	Bridge Capital Holdings
BBOX	Black Box Corporation
BBSI	Barrett Business Services, Inc.
BBT	BB&T Corporation
BBXT	BankAtlantic Bancorp, Inc.
BBY	Best Buy Co. Inc.
BC	Brunswick Corp.
BUCA	BUCA, Inc.
BUCY	Bucyrus International, Inc.
BUD	Anheuser-Busch
BUSE	First Busey Corporation
BWINA	Baldwin & Lyons, Inc.
BWINB	Baldwin & Lyons, Inc.
BWLD	Buffalo Wild Wings, Inc.
BWTR	Basin Water, Inc.
BXP	Boston Properties
BXXX	Brooke Corporation
BYBI	Back Yard Burgers, Inc.
BYFC	Broadway Financial Corporation
C	Citigroup Inc.
CA	CA Inc.
CAAS	China Automotive Systems, Inc.
CACB	Cascade Bancorp
CACC	Credit Acceptance Corporation
CACH	Cache, Inc.
CACS	Carrier Access Corporation
CADA	CAM Commerce Solutions, Inc.
CADE	Cadence Financial Corporation
CADX	Cadence Pharmaceuticals, Inc.
CAFI	Camco Financial Corporation
CAG	ConAgra Foods Inc.
CAH	Cardinal Health Inc.
CAKE	Cheesecake Factory Incorporated (The)
CAL	Continental Airlines Inc. Cl B
CALC	California Coastal Communities Inc
CKXE	CKX, Inc.
CL	Colgate-Palmolive
CLAY	Clayton Holdings, Inc.
CLBH	Carolina Bank Holdings Inc.
CLCT	Collectors Universe, Inc.
CLDA	Clinical Data, Inc.
CLDN	Celadon Group, Inc.
CLFC	Center Financial Corporation
CLHB	Clean Harbors, Inc.
CLMS	Calamos Asset Management, Inc.
CYBX	Cyberonics, Inc.
CYCC	Cyclacel Pharmaceuticals, Inc.
CYCCP	Cyclacel Pharmaceuticals, Inc.
CYCL	Centennial Communications Corporation
CYDS	Cygne Designs, Inc
CYMI	Cymer, Inc.
CYNO	Cynosure, Inc.
CYPB	Cypress Bioscience, Inc.
CYTC	Cytyc Corporation
CYTK	Cytokinetics, Incorporated
CYTO	Cytogen Corporation
CYTR	CytRx Corporation
CYTX	Cytori Therapeutics Inc
CZFC	Citizens First Corporation
CZN	Citizens Communications
CZNC	Citizens & Northern Corp
CZWI	Citizens Community Bancorp, Inc.
D	Dominion Resources Inc. (Virginia)
DADE	Dade Behring Holdings, Inc
DAGM	DAG Media, Inc.
DAIEY	Dai'ei, Inc.
DAIO	Data I/O Corporation
DAKT	Daktronics, Inc.
DANKY	Danka Business Systems PLC
DASTY	Dassault Systemes, S.A.
DATA	DataTrak International, Inc.
DAVE	Famous Dave's of America, Inc.
DBLE	Double Eagle Petroleum Company
DBLEP	Double Eagle Petroleum Company
DUK	Duke Energy Corp.
DUSA	DUSA Pharmaceuticals, Inc.
DVAX	Dynavax Technologies Corporation
DVN	Devon Energy Corp.
DWCH	Datawatch Corporation
DWID	Merrill Lynch & Co., Inc.
DWMT	Merrill Lynch & Co., Inc.
DWRI	Design Within Reach, Inc.
DWSN	Dawson Geophysical Company
DWTN	Merrill Lynch & Co., Inc.
DWTT	Merrill Lynch & Co., Inc.
DXCM	DexCom, Inc.
DXPE	DXP Enterprises, Inc.
DXYN	Dixie Group, Inc. (The)
DYAX	Dyax Corp.
DYII	Dynacq Healthcare, Inc.
DYN	Dynegy Inc.
DYNT	Dynatronics Corporation
EBAY	eBay Inc.
EBHI	Eddie Bauer Holdings, Inc.
EBIX	Ebix Inc
EBTC	Enterprise Bancorp Inc
EBTX	Encore Bancshares, Inc.
ECBE	ECB Bancorp Inc
ECGI	Envoy Capital Group Inc.
ECHO	Electronic Clearing House, Inc.
ECIL	ECI Telecom Ltd.
ECL	Ecolab Inc.
ECLP	Eclipsys Corporation
ECMV	E Com Ventures, Inc.
ECOL	American Ecology Corporation
ECPG	Encore Capital Group Inc
ECTX	ECtel Ltd.
ED	Consolidated Edison Inc.
EZEM	E-Z-EM, Inc.
EZPW	EZCORP, Inc.
F	Ford Motor
FACE	Physicians Formula Holdings, Inc.
FACT	First Albany Companies, Inc.
FADV	First Advantage Corporation
FALC	FalconStor Software, Inc.
FARM	Farmer Brothers Company
FARO	FARO Technologies, Inc.
FAST	Fastenal Company
FBCM	FBR Capital Markets Corporation
FBEI	First Bancorp of Indiana, Inc.
FBIZ	First Business Financial Services, Inc.
FBMI	Firstbank Corporation
FBMS	First Bancshares, Inc. (The) (MS)
FBNC	First Bancorp
FBSI	First Bancshares, Inc.
FBSS	Fauquier Bankshares, Inc.
FBTC	First BancTrust Corporation
FBTX	Franklin Bank Corp.
FCAL	First California Financial Group, Inc.
FUEL	SMF Energy Corporation
FUJI	FUJIFILM Holdings Corporation
FULT	Fulton Financial Corporation
FUNC	First United Corporation
FUND	Royce Focus Trust, Inc.
FVRL	Favrille, Inc.
FWLT	Foster Wheeler Ltd.
FWLTW	Foster Wheeler Ltd.
FWLTZ	Foster Wheeler Ltd.
FWRD	Forward Air Corporation
FXCB	Fox Chase Bancorp, Inc.
FXEN	FX Energy, Inc.
GABC	German American Bancorp, Inc.
GAIA	Gaiam, Inc.
